ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
1,35.34722456,106.4304805,2.62,98,234,2.37,2600,,,,,,1,0,51104,22.933,0,0.0229,1.1091,9.1911,16.1248,16.1248
2,35.34707635,106.4641785,3.28,180,246,829.28,3400,,,,,,,,51104,108.6505,0,14.571,21.301,173.9241,305.1299,305.1299
3,35.37471088,106.4306564,2.62,164,234,49.91,2000,,,,,,,,51106,59.2729,25.1381,0.1058,5.1191,4.7134,8.2691,8.2691
4,35.40233614,106.3971108,2.62,164,234,2.38,2000,,,,,,,,51106,1.312,0.5193,0.0022,0.1058,0.0974,0.1709,0.1709
5,35.4021974,106.4308324,3.28,115,230,8.57,2800,,,,,,,,51106,10.9659,4.3407,0.0183,0.8839,0.8138,1.4278,1.4278
6,35.42982291,106.3972752,6.56,164,189,1.54,2600,,,,,,,,51106,9.6737,3.8291,0.0161,0.7798,0.718,1.2597,1.2597
7,35.42968412,106.4310086,3.28,180,246,10.29,3500,,,,,,,,51106,11.4599,4.86,0.0205,0.9897,0.9113,1.5987,1.5987
8,35.45743914,106.3636945,4.59,131,189,3.02,2400,,,,,,,,51106,25.4027,10.0552,0.0423,2.0477,1.8854,3.3076,3.3076
9,35.45730987,106.3974397,5.9,98,172,1.78,2200,,,,,,,,51106,27.5196,10.8932,0.0459,2.2183,2.0425,3.5833,3.5833
10,35.45717103,106.4311848,2.62,148,234,6.1,200,,,,,,,,51108,6.2018,2.3242,0.0099,0.4795,0.4,0.7018,0.7018
11,35.48504607,106.3300903,2.62,164,187,19.05,3259,,,,,,,,51108,14.8678,7.2768,0.031,1.5016,1.4247,2.4995,2.4995
12,35.48492633,106.3638474,2.62,164,187,31.11,3259,,,,,,,,51108,15.8271,9.9229,0.0423,2.0477,1.5165,2.6604,2.6604
13,35.51253347,106.3302315,2.62,164,187,20.42,3259,,,,,,,,51108,15.1876,7.4422,0.0317,1.5357,1.4552,2.5529,2.5529
14,35.54013129,106.2965921,2.62,164,234,23.11,200,,,,,,,,51107,192.637,0,0.2751,13.3097,98.0385,171.9974,171.9974
15,35.54002105,106.3303728,2.62,164,237,77.96,3200,,,,,,,,51108,23.6055,860.538,23.298,0.515,0,0,0
16,35.56815606,105.8236209,5.9,98,172,3.12,2200,,,,,,,,51107,168.6897,0,0.2381,11.5181,87.0406,152.7028,152.7028
17,35.56761907,106.2967217,5.9,98,172,2.87,2200,,,,,,,,51107,157.7745,0,0.2187,10.5795,81.0703,142.2286,142.2286
18,35.5675088,106.3305143,4.92,148,201,4.13,2000,,,,,,,,51107,507.1717,0,1.0582,51.1913,267.092,468.5825,468.5825
19,35.59561062,105.7897807,6.56,164,189,0.93,2600,,,,,,,,51107,29.6365,0,0.0423,2.0477,15.0828,26.4611,26.4611
20,35.5956442,105.8235855,3.28,98,194,0.56,3400,,,,,,,,51107,3.3341,0,0.0042,0.2048,1.7282,3.032,3.032
21,35.59520774,106.2630471,2.95,131,174,0.46,3400,,,,,,,,51107,2.3815,0,0.0028,0.1365,1.2255,2.15,2.15
22,35.59510702,106.2968515,2.43,115,262,2.95,3400,,,,,,,,51114,6.6153,2.0673,0.0088,0.4266,0.7856,1.3782,1.3782
23,35.6230989,105.7897335,2.62,115,221,4.53,8000,,,,,,,,51114,3.7332,1.0551,0.0106,0.5119,0.4808,0.8434,0.8434
24,35.62313248,105.8235501,2.62,164,187,44.08,3259,,,,,,,,51114,143.9927,47.9608,0.2046,9.897,88.2975,154.9079,154.9079
25,35.62269587,106.2631651,3.28,98,234,1.84,200,,,,,,,,51113,7.9416,4.6969,0.0227,0.9454,0,0,0
26,35.65062092,105.8235147,1.31,98,221,648.69,2800,,,,,,,,51113,9.4995,17.6408,0.8168,0.0181,0,0,0
27,35.65018415,106.2632832,2.62,164,187,37.36,3259,,,,,,,,51114,28.2131,13.0652,0.0741,3.5834,5.6278,9.8733,9.8733
28,35.65008335,106.2971112,2.62,164,187,35.13,3259,,,,,,,,51112,36.8692,9.096,0.0388,1.877,17.0939,29.9893,29.9893
29,35.67810949,105.8234792,2.62,164,187,16.83,3259,,,,,,,,51112,127.3442,31.4226,0.134,6.4842,39.0897,68.5784,68.5784
30,35.67757174,106.2972412,3.28,98,203,16.14,3200,,,,,,,,51113,5.6186,0,0.0225,1.087,0,0,0
31,35.67746131,106.3310809,2.62,164,187,13.61,3259,,,,,,,,51113,24.3685,0.9923,0.0423,2.0477,1.3197,2.3153,2.3153
32,35.70556457,105.7895917,4.59,131,189,2.23,2400,,,,,,,,51114,2.3837,1.4443,0.0056,0.273,0.1137,0.1996,0.1996
33,35.70559819,105.8234437,2.62,164,187,107.38,3259,,,,,,,,51114,56.7679,26.2891,0.1817,8.7896,11.3241,19.8668,19.8668
34,35.70516112,106.2635196,4.92,197,187,86.04,3259,,,,,,,,51114,529.2226,165.3821,0.7055,34.1276,282.8033,496.1462,496.1462
35,35.70506025,106.2973712,4.59,131,189,1.86,2400,,,,,,,,51114,1.9846,0.9702,0,0,0.1618,0.2839,0.2839
36,35.70331677,106.6697315,2.43,115,262,5.89,3000,,,,,,,,51112,0,3.3319,0.5089,0.0113,0,0,0
37,35.70310064,106.7035815,1.64,115,234,12.8,2300,,,,,,,,51112,0,2.0011,0.3047,0.0067,0,0,0
38,35.73305339,105.7895444,2.62,164,187,59.89,3259,,,,,,,,51112,86.3074,21.2924,0.0908,4.3939,21.581,37.8615,37.8615
39,35.73308703,105.8234082,2.62,164,187,211.48,3259,,,,,,,,51112,113.1213,27.9077,0.119,5.759,25.1381,44.1019,44.1019
40,35.73264979,106.2636379,3.94,131,174,40.67,3700,,,,,,,,51112,0,2.6219,0.3299,0.0073,0,0,0
