monthly,AG,AR,CE,DO,DU,IN,IR,OP,PP,PR,TR,GBR,BR
1,0.006072,0.006072,0.039169393,0.189269117,0.057142857,0.188708647,0.093957474,0.022892798,0.112233961,0.083333333,0.083333333,0.083333333,0.083333333
2,0.011782,0.011782,0.026112928,0.166455429,0.045714286,0.199628238,0.062638316,0.028095757,0.096738631,0.081286504,0.083333333,0.083333333,0.083333333
3,0.071393,0.071393,0.083345186,0.079847909,0.2,0.141143451,0.090467937,0.044745065,0.085867402,0.080376709,0.083333333,0.083333333,0.083333333
4,0.171279,0.171279,0.110510596,0.038022814,0.285714286,0.021567951,0.087646571,0.049948023,0.062777523,0.080181424,0.083333333,0.083333333,0.083333333
5,0.17095,0.17095,0.115061869,0.039290241,0.171428571,0.014003072,0.093264265,0.087408966,0.062440668,0.079871267,0.083333333,0.083333333,0.083333333
6,0.160511,0.160511,0.087896459,0.038022814,0.014285714,0.018026944,0.088364329,0.086368334,0.073832491,0.080526044,0.083333333,0.083333333,0.083333333
7,0.213062,0.213062,0.097710141,0.039290241,0.011428571,0.020441267,0.068492365,0.068678494,0.105925586,0.083237049,0.083333333,0.083333333,0.083333333
8,0.046598,0.046598,0.094154459,0.039290241,0.011428571,0.024787048,0.081037319,0.087408966,0.080600214,0.084052648,0.083333333,0.083333333,0.083333333
9,0.024169,0.024169,0.08675864,0.038022814,0.014285714,0.021406996,0.089252141,0.194589134,0.047465932,0.084776348,0.083333333,0.083333333,0.083333333
10,0.092465,0.092465,0.099701323,0.040557668,0.045714286,0.01690026,0.089110131,0.185223452,0.057540959,0.087487354,0.083333333,0.083333333,0.083333333
11,0.022387,0.022387,0.075949367,0.102661597,0.068571429,0.122546762,0.066277042,0.09573362,0.094013168,0.088624597,0.083333333,0.083333333,0.083333333
12,0.009331,0.009331,0.08362964,0.189269117,0.074285714,0.210839365,0.089492112,0.048907392,0.120563467,0.086246724,0.083333333,0.083333333,0.083333333
