hourly,ENERGY,POINT,AREA,MOBILE,FLAT
0,0.032916667,0.03125,0.016393443,0.007916667,0.024948025
1,0.03,0.03125,0.016393443,0.00375,0.024948025
2,0.03,0.0325,0.016393443,0.0025,0.024948025
3,0.029583333,0.034166667,0.016393443,0.002083333,0.024948025
4,0.030833333,0.036666667,0.016393443,0.00375,0.024948025
5,0.033333333,0.039583333,0.020491803,0.009166667,0.027027027
6,0.038333333,0.0425,0.049180328,0.035833333,0.031185031
7,0.045,0.045416667,0.06147541,0.076666667,0.037422037
8,0.049583333,0.048333333,0.06557377,0.0775,0.045738046
9,0.050833333,0.050833333,0.06557377,0.05875,0.051975052
10,0.050416667,0.053333333,0.057377049,0.051666667,0.06029106
11,0.050416667,0.054166667,0.049180328,0.05,0.066528067
12,0.04875,0.050833333,0.045081967,0.055,0.074844075
13,0.047916667,0.051666667,0.045081967,0.06,0.072765073
14,0.0475,0.052083333,0.040983607,0.060416667,0.070686071
15,0.047083333,0.048333333,0.040983607,0.06625,0.064449064
16,0.045833333,0.045,0.040983607,0.084583333,0.056133056
17,0.044583333,0.042083333,0.045081967,0.086666667,0.045738046
18,0.043333333,0.039583333,0.057377049,0.062916667,0.037422037
19,0.0425,0.0375,0.06147541,0.044166667,0.031185031
20,0.0425,0.035416667,0.057377049,0.030833333,0.027027027
21,0.042083333,0.03375,0.057377049,0.025833333,0.024948025
22,0.04,0.0325,0.040983607,0.025416667,0.024948025
23,0.036666667,0.03125,0.016393443,0.018333333,0.024948025
