mouthly,ENERGY,POINT,AREA,MOBILE,FLAT
1,0.1,0.091666667,0.141667,0.073333333,0.0375
2,0.09583333,0.089583333,0.125,0.076666667,0.10833
3,0.0875,0.0875,0.108333,0.081666667,0.19583
4,0.08333333,0.083333333,0.083333,0.085833333,0.14167
5,0.075,0.079166667,0.058333,0.0875,0.07083
6,0.07083333,0.075,0.033333,0.088333333,0.07083
7,0.06666667,0.0775,0.016667,0.084166667,0.07083
8,0.07291667,0.079166667,0.033333,0.085,0.08333
9,0.07916667,0.080833333,0.058333,0.088333333,0.09167
10,0.08333333,0.083333333,0.0875,0.0875,0.05417
11,0.08958333,0.085416667,0.116667,0.084166667,0.0375
12,0.09583333,0.0875,0.1375,0.0775,0.0375
